Name,Designation,Company
Umang Bedi,CEO,VerSe Innovation
Girish Nagpal,CEO,MetroRide
Kaaman Agarwal,CEO,MetroRide
Sneh R Vaswani,CEO,Miko
Prashant V Iyengar,CEO,Miko
Chintan S Raikar,CEO,Miko
Natasha Jain,CEO,Whiz League
Sonia Agarwal Bajaj,CEO,Whiz League
Shwetank Jain,CEO,Hash
Gaurav Munjal,CEO,Unacademy
Hemesh Singh,CEO,Unacademy
Roman Saini,CEO,Unacademy
Akshay Singhal,CEO,Log 9 Materials
Kartik Hajela,CEO,Log 9 Materials
Phalgun Kompalli,CEO,upGrad
Ronnie Screwvala,CEO,upGrad
Mayank Kumar,CEO,upGrad
Dhiresh Nagwani,CEO,FlashPrep
Ashwini Dhekane,CEO,FlashPrep
Aniruddha Sen,CEO,Kenko Health
Dhiraj Goel,CEO,Kenko Health
Ramkumar Govindarajan,CEO,Wiz Freight
Ramkumar Ramachandran,CEO,Wiz Freight
Rishabh Goel,CEO,Credgenics
Mayank Khera,CEO,Credgenics
Anand Agrawal,CEO,Credgenics
Harish Uthayakumar,CEO,BlueLearn
Shreyans Sancheti,CEO,BlueLearn
